MITRE_ID,Technique,EVTX_File,Sigma_Target
T1218.001,Signed Binary Proxy (rundll32),rundll32.evtx,rundll32.*http
T1059.001,PowerShell Encoded Cmd,powershell.evtx,powershell -enc
